date,incid_hosp
2022-01-21,9.0
2022-01-22,20.0
2022-01-23,0.0
2022-01-24,4.0
2022-01-25,37.0
2022-01-26,11.0
2022-01-27,12.0
2022-01-28,5.0
2022-01-29,16.0
2022-01-30,0.0
2022-01-31,14.0
2022-02-01,13.0
2022-02-02,9.0
2022-02-03,16.0
2022-02-04,50.0
2022-02-05,15.0
2022-02-06,0.0
2022-02-07,1.0
2022-02-08,35.0
2022-02-09,5.0
2022-02-10,5.0
2022-02-11,13.0
2022-02-12,7.0
2022-02-13,0.0
2022-02-14,5.0
2022-02-15,18.0
2022-02-16,12.0
2022-02-17,7.0
2022-02-18,12.0
2022-02-19,9.0
2022-02-20,0.0
2022-02-21,6.0
2022-02-22,8.0
2022-02-23,4.0
2022-02-24,6.0
2022-02-25,1.0
2022-02-26,8.0
2022-02-27,0.0
2022-02-28,7.0
2022-03-01,2.0
2022-03-02,25.0
2022-03-03,1.0
2022-03-04,3.0
2022-03-05,1.0
2022-03-06,0.0
2022-03-07,2.0
2022-03-08,3.0
2022-03-09,1.0
2022-03-10,15.0
2022-03-11,5.0
2022-03-12,8.0
2022-03-13,0.0
2022-03-14,4.0
2022-03-15,0.0
2022-03-16,3.0
2022-03-17,9.0
2022-03-18,7.0
2022-03-19,5.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,8.0
2022-03-23,3.0
2022-03-24,1.0
2022-03-25,13.0
2022-03-26,3.0
2022-03-27,0.0
2022-03-28,4.0
2022-03-29,1.0
2022-03-30,6.0
2022-03-31,3.0
2022-04-01,2.0
2022-04-02,12.0
2022-04-03,0.0
2022-04-04,7.0
2022-04-05,2.0
2022-04-06,7.0
2022-04-07,7.0
2022-04-08,29.0
2022-04-09,5.0
2022-04-10,0.0
2022-04-11,7.0
2022-04-12,1.0
2022-04-13,6.0
2022-04-14,2.0
2022-04-15,21.0
2022-04-16,4.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,10.0
2022-04-20,8.0
2022-04-21,1.0
2022-04-22,12.0
2022-04-23,4.0
2022-04-24,0.0
2022-04-25,5.0
2022-04-26,8.0
2022-04-27,2.0
2022-04-28,3.0
2022-04-29,8.0
2022-04-30,27.0
2022-05-01,0.0
2022-05-02,1.0
2022-05-03,9.0
2022-05-04,2.0
2022-05-05,1.0
2022-05-06,2.0
2022-05-07,6.0
2022-05-08,0.0
2022-05-09,5.0
2022-05-10,3.0
2022-05-11,2.0
2022-05-12,3.0
2022-05-13,2.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,3.0
2022-05-17,1.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,3.0
2022-05-21,5.0
2022-05-22,1.0
2022-05-23,1.0
2022-05-24,1.0
2022-05-25,2.0
2022-05-26,1.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,15.0
2022-06-01,2.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,2.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,1.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,2.0
2022-06-14,1.0
2022-06-15,0.0
2022-06-16,2.0
2022-06-17,2.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,3.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,1.0
2022-06-25,4.0
2022-06-26,0.0
2022-06-27,2.0
2022-06-28,0.0
2022-06-29,2.0
2022-06-30,0.0
2022-07-01,1.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,4.0
2022-07-06,0.0
2022-07-07,2.0
2022-07-08,0.0
2022-07-09,10.0
2022-07-10,0.0
2022-07-11,3.0
2022-07-12,9.0
2022-07-13,11.0
2022-07-14,1.0
2022-07-15,7.0
2022-07-16,6.0
2022-07-17,0.0
2022-07-18,10.0
2022-07-19,8.0
2022-07-20,5.0
2022-07-21,10.0
2022-07-22,6.0
2022-07-23,2.0
2022-07-24,0.0
2022-07-25,1.0
2022-07-26,4.0
2022-07-27,5.0
2022-07-28,3.0
2022-07-29,7.0
2022-07-30,6.0
2022-07-31,0.0
2022-08-01,3.0
2022-08-02,5.0
2022-08-03,27.0
2022-08-04,3.0
2022-08-05,1.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,1.0
2022-08-10,0.0
2022-08-11,3.0
2022-08-12,0.0
2022-08-13,3.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,1.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,2.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,3.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
